Name,Type,21389,Attributes
k_object_access_grant,s,
k_object_access_revoke,,
k_object_release,s,
k_object_access_all_grant,,
k_object_alloc,s,
k_object_free,,
k_obj_free,,
k_thread_foreach,,Threads
k_thread_create,s,Supervisor
k_thread_user_mode_enter,,Supervisor
k_thread_access_grant,m,
k_thread_resource_pool_assign,,Threads
k_thread_system_pool_assign,,Threads
k_sleep,s,Threads,sleep
k_usleep,s,Threads,sleep
k_busy_wait,s,Threads,-
k_yield,s,Threads,sleep
k_wakeup,s,,reschedule
k_current_get,s,
k_thread_abort,s,
k_thread_start,s,
k_thread_priority_get,s,
k_thread_priority_set,s,Threads
k_thread_deadline_set,s,
k_thread_cpu_mask_clear,,
k_thread_cpu_mask_enable_all,,
k_thread_cpu_mask_enable,,
k_thread_cpu_mask_disable,,
k_thread_suspend,s,,reschedule;sleep if curr;
k_thread_resume,s,,reschedule
k_sched_time_slice_set,,
k_is_in_isr,,Threads;ISRs,-
k_is_pre_kernel,,,-
k_is_preempt_thread,s,Threads;ISRs
k_sched_lock,,
k_sched_unlock,,Threads
k_thread_custom_data_set,s,
k_thread_custom_data_get,s,
k_thread_name_set,s,
k_thread_name_get,s,
k_thread_name_copy,s,
k_thread_state_str,,
k_timer_init,,
k_timer_start,s,
k_timer_stop,s,Threads;ISRs
k_timer_status_get,s,
k_timer_status_sync,s,Threads
k_timer_remaining_get,s,
k_timer_user_data_set,s,
k_timer_user_data_get,s,
k_uptime_get,s,
k_uptime_get_32,,
k_uptime_delta,,
k_uptime_delta_32,,
k_cycle_get_32,,
k_queue_init,s,
k_queue_cancel_wait,s,Threads;ISRs
k_queue_append,,Threads;ISRs
k_queue_alloc_append,s,Threads;ISRs
k_queue_prepend,,Threads;ISRs
k_queue_alloc_prepend,s,Threads;ISRs
k_queue_insert,,Threads;ISRs
k_queue_append_list,,Threads;ISRs
k_queue_merge_slist,,Threads;ISRs
k_queue_get,s,Threads;ISRs
k_queue_remove,,Threads;ISRs
k_queue_unique_append,,Threads;ISRs
k_queue_is_empty,s,Threads;ISRs
k_queue_peek_head,s,
k_queue_peek_tail,s,
k_futex_wait,s,
k_futex_wake,s,
k_fifo_init,m,
k_fifo_cancel_wait,m,Threads;ISRs
k_fifo_put,,Threads;ISRs
k_fifo_alloc_put,m,Threads;ISRs
k_fifo_put_list,m,Threads;ISRs
k_fifo_put_slist,m,Threads;ISRs
k_fifo_get,m,Threads;ISRs
k_fifo_is_empty,m,Threads;ISRs
k_fifo_peek_head,m,
k_fifo_peek_tail,m,
k_lifo_init,m,
k_lifo_put,m,Threads;ISRs
k_lifo_alloc_put,m,Threads;ISRs
k_lifo_get,m,Threads;ISRs
k_stack_init,,
k_stack_alloc_init,s,
k_stack_cleanup,,
k_stack_push,s,Threads;ISRs
k_stack_pop,s,Threads;ISRs
k_work_init,,
k_work_submit_to_queue,,Threads;ISRs
k_work_submit_to_user_queue,,Threads;ISRs
k_work_pending,,Threads;ISRs
k_work_q_start,,
k_work_q_user_start,,User mode
k_delayed_work_init,,
k_delayed_work_submit_to_queue,,Threads;ISRs
k_delayed_work_cancel,,Threads;ISRs
k_work_submit,,Threads;ISRs
k_delayed_work_submit,,Threads;ISRs
k_delayed_work_remaining_get,,
k_work_poll_init,,
k_work_poll_submit_to_queue,,Threads;ISRs
k_work_poll_submit,,Threads;ISRs
k_work_poll_cancel,,Threads;ISRs
k_mutex_init,s,
k_mutex_lock,s,,sleep;no-wait
k_mutex_unlock,s,,reschedule
k_sem_init,s,
k_sem_take,s,Threads;ISRs,sleep;no-wait
k_sem_give,s,Threads;ISRs,reschedule
k_sem_reset,s,
k_sem_count_get,s,
k_msgq_init,,
k_msgq_alloc_init,s,
k_msgq_cleanup,,
k_msgq_put,s,Threads;ISRs
k_msgq_get,s,Threads;ISRs
k_msgq_peek,s,Threads;ISRs
k_msgq_purge,s,
k_msgq_num_free_get,s,
k_msgq_get_attrs,s,
k_msgq_num_used_get,s,
k_mbox_init,,
k_mbox_put,,
k_mbox_async_put,,
k_mbox_get,,
k_mbox_data_get,,
k_mbox_data_block_get,,
k_pipe_init,,
k_pipe_cleanup,,
k_pipe_alloc_init,s,
k_pipe_put,s,
k_pipe_get,s,
k_pipe_block_put,,
k_mem_slab_init,,
k_mem_slab_alloc,,
k_mem_slab_free,,
k_mem_slab_num_used_get,,
k_mem_slab_num_free_get,,
k_mem_pool_alloc,,Threads;ISRs
k_mem_pool_malloc,,
k_mem_pool_free,,
k_mem_pool_free_id,,
k_malloc,,
k_free,,
k_calloc,,
k_poll_event_init,,
k_poll,s,Threads
k_poll_signal_init,s,
k_poll_signal_reset,s,
k_poll_signal_raise,s,
k_cpu_idle,,
k_cpu_atomic_idle,,
k_oops,,Threads;ISRs
k_panic,m,
k_mem_domain_init,,Supervisor
k_mem_domain_destroy,,
k_mem_domain_add_partition,,Supervisor
k_mem_domain_remove_partition,,Supervisor
k_mem_domain_add_thread,,Supervisor
k_mem_domain_remove_thread,,Supervisor
k_str_out,s,
k_float_disable,s,
